Start Node,Start State,Start Country,End Node,End State,End Country,Distance (km),Speed (km/h),Has Ferry,Ferries
Meekatharra,WA,Australia,Kalgoorie,WA,Australia,710,100,No,
Geraldton,WA,Australia,Perth,WA,Australia,410,100,No,
Geraldton,WA,Australia,Kalgoorie,WA,Australia,870,100,No,
Geraldton,WA,Australia,Esperance,WA,Australia,1080,100,No,
Perth,WA,Australia,Bunbury,WA,Australia,170,100,No,
Perth,WA,Australia,Albany,WA,Australia,420,100,No,
Perth,WA,Australia,Esperance,WA,Australia,700,110,No,
Perth,WA,Australia,Kalgoorie,WA,Australia,590,110,No,
Bunbury,WA,Australia,Albany,WA,Australia,340,100,No,
Bunbury,WA,Australia,Esperance,WA,Australia,670,110,No,
Bunbury,WA,Australia,Kalgoorie,WA,Australia,740,110,No,
Albany,WA,Australia,Esperance,WA,Australia,480,100,No,
Albany,WA,Australia,Kalgoorie,WA,Australia,710,100,No,
Esperance,WA,Australia,Kalgoorie,WA,Australia,390,110,No,
Esperance,WA,Australia,Ceduna,SA,Australia,1410,120,No,
Kalgoorie,WA,Australia,Ceduna,SA,Australia,1390,120,No,
Ceduna,SA,Australia,Port Lincoln,SA,Australia,400,110,No,
Ceduna,SA,Australia,Port Augusta,SA,Australia,470,110,No,
Ceduna,SA,Australia,Coober Pedy,SA,Australia,570,90,No,
Port Lincoln,SA,Australia,Port Augusta,SA,Australia,340,110,No,
Port Augusta,SA,Australia,Roxby Downs,SA,Australia,260,110,No,
Port Augusta,SA,Australia,Coober Pedy,SA,Australia,540,120,No,
Port Augusta,SA,Australia,Adelaide,SA,Australia,310,100,No,
Port Augusta,SA,Australia,Broken Hill,NSW,Australia,410,110,No,
Port Augusta,SA,Australia,Mildura,VIC,Australia,530,100,No,
Roxby Downs,SA,Australia,Coober Pedy,SA,Australia,450,115,No,
Kingscote (Kangaroo Island),SA,Australia,Adelaide,SA,Australia,170,90,Yes,Kangaroo Island
Adelaide,SA,Australia,Mount Gambier,SA,Australia,440,100,No,
Adelaide,SA,Australia,Horsham,VIC,Australia,430,100,No,
Adelaide,SA,Australia,Mildura,VIC,Australia,400,100,No,
Adelaide,SA,Australia,Broken Hill,NSW,Australia,520,110,No,
Mount Gambier,SA,Australia,Warrnambool,VIC,Australia,190,90,No,
Mount Gambier,SA,Australia,Horsham,VIC,Australia,220,90,No,
Mount Gambier,SA,Australia,Ballarat,VIC,Australia,300,90,No,
Mount Gambier,SA,Australia,Bendigo,VIC,Australia,390,90,No,
Mildura,VIC,Australia,Horsham,VIC,Australia,310,90,No,
Mildura,VIC,Australia,Ballarat,VIC,Australia,450,90,No,
Mildura,VIC,Australia,Bendigo,VIC,Australia,400,90,No,
Mildura,VIC,Australia,Shepparton,VIC,Australia,450,90,No,
Mildura,VIC,Australia,Albury-Wodonga,NSW,Australia,550,90,No,
Mildura,VIC,Australia,Broken Hill,NSW,Australia,300,100,No,
Mildura,VIC,Australia,Griffith,NSW,Australia,430,100,No,
Mildura,VIC,Australia,Wagga Wagga,NSW,Australia,560,100,No,
Horsham,VIC,Australia,Warrnambool,VIC,Australia,230,90,No,
Horsham,VIC,Australia,Ballarat,VIC,Australia,190,90,No,
Horsham,VIC,Australia,Bendigo,VIC,Australia,210,90,No,
Horsham,VIC,Australia,Griffith,NSW,Australia,550,90,No,
Horsham,VIC,Australia,Wagga Wagga,NSW,Australia,580,90,No,
Warrnambool,VIC,Australia,Ballarat,VIC,Australia,170,90,No,
Warrnambool,VIC,Australia,Bendigo,VIC,Australia,280,90,No,
Warrnambool,VIC,Australia,Melbourne,VIC,Australia,260,90,No,
Ballarat,VIC,Australia,Bendigo,VIC,Australia,120,90,No,
Ballarat,VIC,Australia,Melbourne,VIC,Australia,120,100,No,
Ballarat,VIC,Australia,Shepparton,VIC,Australia,240,90,No,
Ballarat,VIC,Australia,Griffith,NSW,Australia,510,90,No,
Bendigo,VIC,Australia,Melbourne,VIC,Australia,150,100,No,
Bendigo,VIC,Australia,Shepparton,VIC,Australia,120,90,No,
Bendigo,VIC,Australia,Albury-Wodonga,NSW,Australia,280,100,No,
Bendigo,VIC,Australia,Griffith,NSW,Australia,370,90,No,
Melbourne,VIC,Australia,Shepparton,VIC,Australia,190,100,No,
Melbourne,VIC,Australia,Morwell,VIC,Australia,150,100,No,
Melbourne,VIC,Australia,Launceston,TAS,Australia,100,90,Yes,Trans Tasman
Melbourne,VIC,Australia,Albury-Wodonga,NSW,Australia,330,110,No,
Shepparton,VIC,Australia,Morwell,VIC,Australia,340,100,No,
Shepparton,VIC,Australia,Bairnsdale,VIC,Australia,370,80,No,
Shepparton,VIC,Australia,Griffith,NSW,Australia,270,90,No,
Shepparton,VIC,Australia,Wagga Wagga,NSW,Australia,280,90,No,
Shepparton,VIC,Australia,Albury-Wodonga,NSW,Australia,170,90,No,
Morwell,VIC,Australia,Bairnsdale,VIC,Australia,130,90,No,
Morwell,VIC,Australia,Albury-Wodonga,NSW,Australia,390,80,No,
Bairnsdale,VIC,Australia,Albury-Wodonga,NSW,Australia,300,80,No,
Bairnsdale,VIC,Australia,Bega,NSW,Australia,330,90,No,
Bairnsdale,VIC,Australia,Canberra,ACT,Australia,460,90,No,
Launceston,TAS,Australia,Hobart,TAS,Australia,200,90,No,
Broken Hill,NSW,Australia,Griffith,NSW,Australia,570,90,No,
Broken Hill,NSW,Australia,Cobar,NSW,Australia,460,110,No,
Griffith,NSW,Australia,Albury-Wodonga,NSW,Australia,260,90,No,
Griffith,NSW,Australia,Wagga Wagga,NSW,Australia,190,90,No,
Griffith,NSW,Australia,Cobar,NSW,Australia,360,100,No,
Griffith,NSW,Australia,Parkes,NSW,Australia,290,90,No,
Griffith,NSW,Australia,Bathurst,NSW,Australia,400,90,No,
Griffith,NSW,Australia,Goulburn,NSW,Australia,380,100,No,
Griffith,NSW,Australia,Canberra,ACT,Australia,360,90,No,
Albury-Wodonga,NSW,Australia,Wagga Wagga,NSW,Australia,130,90,No,
Albury-Wodonga,NSW,Australia,Goulburn,NSW,Australia,360,110,No,
Albury-Wodonga,NSW,Australia,Canberra,ACT,Australia,320,100,No,
Albury-Wodonga,NSW,Australia,Bega,NSW,Australia,420,80,No,
Wagga Wagga,NSW,Australia,Cobar,NSW,Australia,510,100,No,
Wagga Wagga,NSW,Australia,Parkes,NSW,Australia,280,100,No,
Wagga Wagga,NSW,Australia,Bathurst,NSW,Australia,310,90,No,
Wagga Wagga,NSW,Australia,Goulburn,NSW,Australia,260,110,No,
Wagga Wagga,NSW,Australia,Canberra,ACT,Australia,240,100,No,
Wagga Wagga,NSW,Australia,Bega,NSW,Australia,390,90,No,
Cobar,NSW,Australia,Dubbo,NSW,Australia,300,110,No,
Cobar,NSW,Australia,Parkes,NSW,Australia,350,90,No,
Cobar,NSW,Australia,Narrabri,NSW,Australia,500,100,No,
Cobar,NSW,Australia,Tamworth,NSW,Australia,570,90,No,
Cobar,NSW,Australia,Newcastle,NSW,Australia,670,90,No,
Dubbo,NSW,Australia,Narrabri,NSW,Australia,260,100,No,
Dubbo,NSW,Australia,Tamworth,NSW,Australia,310,90,No,
Dubbo,NSW,Australia,Newcastle,NSW,Australia,370,90,No,
Dubbo,NSW,Australia,Bathurst,NSW,Australia,200,90,No,
Dubbo,NSW,Australia,Parkes,NSW,Australia,120,100,No,
Narrabri,NSW,Australia,Ballina,NSW,Australia,540,90,No,
Narrabri,NSW,Australia,Armidale,NSW,Australia,260,80,No,
Narrabri,NSW,Australia,Tamworth,NSW,Australia,170,90,No,
Narrabri,NSW,Australia,Newcastle,NSW,Australia,390,90,No,
Armidale,NSW,Australia,Ballina,NSW,Australia,330,90,No,
Armidale,NSW,Australia,Coffs Harbour,NSW,Australia,190,80,No,
Armidale,NSW,Australia,Tamworth,NSW,Australia,110,90,No,
Armidale,NSW,Australia,Port Macquarie,NSW,Australia,250,80,No,
Tamworth,NSW,Australia,Port Macquarie,NSW,Australia,270,80,No,
Tamworth,NSW,Australia,Newcastle,NSW,Australia,280,90,No,
Tamworth,NSW,Australia,Bathurst,NSW,Australia,410,90,No,
Ballina,NSW,Australia,Coffs Harbour,NSW,Australia,210,110,No,
Coffs Harbour,NSW,Australia,Port Macquarie,NSW,Australia,150,110,No,
Port Macquarie,NSW,Australia,Newcastle,NSW,Australia,240,110,No,
Newcastle,NSW,Australia,Sydney,NSW,Australia,140,100,No,
Newcastle,NSW,Australia,Parkes,NSW,Australia,460,90,No,
Sydney,NSW,Australia,Wollongong,NSW,Australia,100,100,No,
Sydney,NSW,Australia,Bathurst,NSW,Australia,180,90,No,
Sydney,NSW,Australia,Goulburn,NSW,Australia,190,100,No,
Wollongong,NSW,Australia,Goulburn,NSW,Australia,130,90,No,
Wollongong,NSW,Australia,Bega,NSW,Australia,330,80,No,
Bega,NSW,Australia,Canberra,ACT,Australia,230,90,No,
Goulburn,NSW,Australia,Bathurst,NSW,Australia,190,80,No,
Goulburn,NSW,Australia,Parkes,NSW,Australia,310,90,No,
Goulburn,NSW,Australia,Canberra,ACT,Australia,90,110,No,
Bathurst,NSW,Australia,Parkes,NSW,Australia,160,90,No,
Bathurst,NSW,Australia,Canberra,ACT,Australia,250,80,No,
Parkes,NSW,Australia,Canberra,ACT,Australia,300,90,No,
